"Date_calls,""calls"""
"1/3/2020,""1330"""
"1/4/2020,""1000"""
"1/5/2020,""585"""
"1/6/2020,""824"""
"1/7/2020,""257"""
"1/8/2020,""1463"""
"1/9/2020,""1362"""
"1/10/2020,""1242"""
"1/11/2020,""931"""
"1/12/2020,""531"""
"1/13/2020,""1341"""
"1/14/2020,""1226"""
"1/15/2020,""1163"""
"1/16/2020,""1149"""
"1/17/2020,""1210"""
"1/18/2020,""668"""
"1/19/2020,""404"""
"1/20/2020,""1237"""
"1/21/2020,""1151"""
"1/22/2020,""1258"""
"1/23/2020,""1167"""
"1/24/2020,""1166"""
"1/25/2020,""736"""
"1/26/2020,""488"""
"1/27/2020,""1229"""
"1/28/2020,""1174"""
"1/29/2020,""1129"""
"1/30/2020,""1123"""
"1/31/2020,""1231"""
"2/1/2020,""784"""
"2/2/2020,""478"""
"2/3/2020,""1171"""
"2/4/2020,""1204"""
"2/5/2020,""1460"""
"2/6/2020,""1354"""
"2/7/2020,""1294"""
"2/8/2020,""852"""
"2/9/2020,""588"""
"2/10/2020,""1535"""
"2/11/2020,""1417"""
"2/12/2020,""1460"""
"2/13/2020,""1494"""
"2/14/2020,""1483"""
"2/15/2020,""761"""
"2/16/2020,""555"""
"2/17/2020,""1283"""
"2/18/2020,""1187"""
"2/19/2020,""1130"""
"2/20/2020,""1054"""
"2/21/2020,""1063"""
"2/22/2020,""708"""
"2/23/2020,""479"""
"2/24/2020,""1253"""
"2/25/2020,""1157"""
"2/26/2020,""1249"""
"2/27/2020,""1211"""
"2/28/2020,""1332"""
"2/29/2020,""809"""
"3/1/2020,""532"""
"3/2/2020,""1536"""
"3/3/2020,""1414"""
"3/4/2020,""1316"""
"3/5/2020,""1467"""
"3/6/2020,""1656"""
"3/7/2020,""1077"""
"3/8/2020,""570"""
"3/9/2020,""887"""
"3/10/2020,""1421"""
"3/11/2020,""1273"""
"3/12/2020,""1297"""
"3/13/2020,""1215"""
"3/14/2020,""749"""
"3/15/2020,""440"""
"3/16/2020,""1468"""
"3/17/2020,""1248"""
"3/18/2020,""1077"""
"3/19/2020,""928"""
"3/20/2020,""851"""
"3/21/2020,""578"""
"3/22/2020,""359"""
"3/23/2020,""909"""
"3/24/2020,""881"""
"3/25/2020,""930"""
"3/26/2020,""846"""
"3/27/2020,""893"""
"3/28/2020,""506"""
"3/29/2020,""320"""
"3/30/2020,""1001"""
"3/31/2020,""1008"""
